City,Borough,Neighborhood,CP,Latitude,Longitude
cdmx,miguel hidalgo,Anzures,11590,19.4274716,-99.1771925
cdmx,miguel hidalgo,Argentina,11230,19.4559586,-99.2035896
cdmx,miguel hidalgo,Bosque de Chapultepec,11100,19.4218002,-99.1881929
cdmx,miguel hidalgo,Bosque de las Lomas,11619,19.4073637,-99.2406801
cdmx,miguel hidalgo,Daniel Garza,11830,19.4102953,-99.1923897
cdmx,miguel hidalgo,Lago Sur,11460,19.4452848,-99.1883448
cdmx,miguel hidalgo,Tacuba,11410,19.458901,-99.1871316
cdmx,miguel hidalgo,Lomas Altas,11950,19.3986479,-99.2313937
cdmx,miguel hidalgo,Lomas de Chapultepec,11000,19.4187845,-99.2060138
cdmx,miguel hidalgo,Lomas Hermosa,11200,19.4467982,-99.215051
cdmx,miguel hidalgo,Mexico Nuevo,11260,19.4524648,-99.2040285
cdmx,miguel hidalgo,Pensil,11430,19.4465045,-99.1971884
cdmx,miguel hidalgo,Polanco,11540,19.43353,-99.190915
cdmx,miguel hidalgo,Popotla,11400,19.4528599,-99.1754624
cdmx,miguel hidalgo,Reforma Social,11650,19.4261933,-99.2216622
cdmx,miguel hidalgo,San Miguel Chapultepec,11850,19.4390222,-99.1862075
cdmx,miguel hidalgo,Santo Tomas,11340,19.4518132,-99.1701506
cdmx,miguel hidalgo,Tacubaya,11870,19.402049,-99.1874725
cdmx,miguel hidalgo,Tlaxpana,11370,19.4405954,-99.1692436
cdmx,cuauhtemoc,Atlampa,6450,19.4567845,-99.1568752
cdmx,cuauhtemoc,Santa Maria insurgentes,6430,19.4608991,-99.1527122
cdmx,cuauhtemoc,Peralvillo,6220,19.4538394,-99.130625
cdmx,cuauhtemoc,Ex-Hipodromo de Peralvillo,6250,19.4567754,-99.1350096
cdmx,cuauhtemoc,Valle Gomez,6240,19.4586286,-99.125247
cdmx,cuauhtemoc,Maza,6270,19.4549636,-99.1282072
cdmx,cuauhtemoc,Nonoalco Tlatelolco,6900,19.4530774,-99.1407804
cdmx,cuauhtemoc,Morelos,6200,19.4299105,-99.1493726
cdmx,cuauhtemoc,Guerrero,6300,19.4449101,-99.1451728
cdmx,cuauhtemoc,Buenavista,6350,19.446167,-99.1526961
cdmx,cuauhtemoc,Santa Maria la Ribera,6400,19.4484168,-99.1579752
cdmx,cuauhtemoc,San Rafael,6470,19.4419205,-99.160696
cdmx,cuauhtemoc,Tabacalera,6030,19.4373743,-99.1542997
cdmx,cuauhtemoc,Cuauhtemoc,6500,19.4256622,-99.1546449
cdmx,cuauhtemoc,Juarez,6600,19.4331046,-99.1477097
cdmx,cuauhtemoc,Roma Norte,6700,19.4183227,-99.1625655
cdmx,cuauhtemoc,Doctores,6720,19.4214424,-99.14322
cdmx,cuauhtemoc,Obrera,6800,19.4132002,-99.1440487
cdmx,cuauhtemoc,Condesa,6140,19.4148639,-99.176429
cdmx,cuauhtemoc,Hipodromo Condesa,6170,19.4092659,-99.1795821
cdmx,cuauhtemoc,Hipodromo,6100,19.4092659,-99.1795821
cdmx,cuauhtemoc,Roma Sur,6760,19.4058335,-99.1633037
cdmx,cuauhtemoc,Algarin,6880,19.405455,-99.1400863
cdmx,cuauhtemoc,Transito,6820,19.417473,-99.131537
cdmx,cuauhtemoc,Ampliacion Asturias,6890,19.407072,-99.131092
cdmx,benito juarez,Narvarte Poniente,3020,19.3922258,-99.1577068
cdmx,benito juarez,Narvarte Oriente,3023,19.3932666,-99.1502584
cdmx,benito juarez,Del Valle norte,3103,19.370241,-99.1567625
cdmx,benito juarez,Napoles,3810,19.3896634,-99.17380808
cdmx,benito juarez,Mixcoac,3910,19.3760192,-99.1869673
cdmx,benito juarez,San Pedro de los pinos,3800,19.3911516,-99.1859103
cdmx,benito juarez,del valle centro,3100,19.3837691,-99.1669696
cdmx,benito juarez,del valle sur,3104,19.3861958,-99.1744541
cdmx,cuauhtemoc,Centro (area 1),6000,19.4318149,-99.1593008
cdmx,cuauhtemoc,Centro (area 2),6010,19.4318149,-99.1593008
cdmx,cuauhtemoc,Centro (area 3),6020,19.4316142,-99.1591956
cdmx,cuauhtemoc,Centro (area 4),6040,19.42817775,-99.12731725
cdmx,iztacalco,Agrícola Pantitlán,8100,19.4154057,-99.0682465
cdmx,iztacalco,Agrícola Oriental,8500,19.4045642,-99.0695045
cdmx,iztacalco,Granjas México,8400,19.4,-99.1
cdmx,iztacalco,San Pedro,8220,19.3926964,-99.12745533
cdmx,Álvaro Obregón,Colina del Sur,1430,19.3626036,-99.220552
cdmx,Álvaro Obregón,El Cuernito,1220,19.3827017,-99.208678
cdmx,Álvaro Obregón,Florida,1030,19.3572269,-99.1807513
cdmx,Álvaro Obregón,Jardines del Pedregal,1900,19.3197812,-99.2073801
cdmx,Álvaro Obregón,Lomas de La Era,1860,19.3256477,-99.2595555
cdmx,Álvaro Obregón,Lomas de Plateros,1480,19.3664636,-99.1956137
